S-14-4-4-41-NR,0.011196613311767578,1239,[[[7, 6, 13, 4], [13, 4, 11, 14], [11, 3, 1, 8], [1, 7, 10, 3]], [[12, 4, 3, 12], [3, 14, 6, 3], [6, 8, 5, 11], [5, 3, 5, 12]], [[9, 12, 10, 10], [10, 3, 1, 2], [1, 11, 13, 10], [13, 12, 5, 1]], [[7, 10, 7, 14], [7, 2, 14, 12], [14, 10, 5, 13], [5, 1, 10, 1]]]
S-14-4-4-42-NR,0.004547595977783203,613,[[[11, 2, 1, 1], [1, 1, 2, 4], [2, 12, 4, 9], [4, 5, 4, 10]], [[4, 1, 1, 9], [1, 4, 4, 12], [4, 9, 11, 12], [11, 10, 3, 9]], [[12, 9, 7, 4], [7, 12, 8, 10], [8, 12, 5, 13], [5, 9, 2, 14]], [[11, 4, 1, 12], [1, 10, 13, 9], [13, 13, 13, 2], [13, 14, 10, 7]]]
S-14-4-4-43-NR,0.016321659088134766,1073,[[[1, 5, 9, 7], [9, 12, 10, 6], [10, 13, 10, 14], [10, 3, 8, 9]], [[6, 7, 13, 7], [13, 6, 7, 3], [7, 14, 1, 14], [1, 9, 11, 2]], [[12, 7, 14, 2], [14, 3, 7, 3], [7, 14, 2, 3], [2, 2, 13, 9]], [[2, 2, 14, 8], [14, 3, 8, 10], [8, 3, 3, 8], [3, 9, 10, 1]]]
S-14-4-4-44-NR,0.023319005966186523,1621,[[[7, 9, 3, 13], [3, 9, 9, 12], [9, 12, 5, 12], [5, 14, 2, 11]], [[3, 13, 7, 10], [7, 12, 7, 13], [7, 12, 12, 11], [12, 11, 7, 6]], [[4, 10, 6, 2], [6, 13, 6, 14], [6, 11, 5, 10], [5, 6, 5, 3]], [[1, 2, 2, 4], [2, 14, 9, 2], [9, 10, 2, 10], [2, 3, 1, 2]]]
S-14-4-4-45-NR,0.0161895751953125,1312,[[[5, 7, 14, 12], [14, 8, 11, 1], [11, 5, 10, 2], [10, 2, 5, 3]], [[6, 12, 5, 13], [5, 1, 12, 3], [12, 2, 4, 14], [4, 3, 1, 13]], [[2, 13, 12, 7], [12, 3, 2, 10], [2, 14, 7, 3], [7, 13, 8, 12]], [[1, 7, 1, 2], [1, 10, 1, 5], [1, 3, 3, 13], [3, 12, 2, 5]]]
S-14-4-4-46-NR,0.003011465072631836,281,[[[2, 7, 13, 6], [13, 1, 11, 14], [11, 10, 1, 14], [1, 10, 14, 1]], [[4, 6, 3, 9], [3, 14, 5, 9], [5, 14, 6, 12], [6, 1, 11, 13]], [[9, 9, 2, 7], [2, 9, 12, 8], [12, 12, 6, 3], [6, 13, 3, 8]], [[10, 7, 8, 9], [8, 8, 14, 13], [14, 3, 2, 1], [2, 8, 1, 2]]]
S-14-4-4-47-NR,0.012818098068237305,1455,[[[6, 2, 1, 2], [1, 7, 1, 5], [1, 9, 13, 8], [13, 8, 10, 12]], [[6, 2, 9, 1], [9, 5, 14, 6], [14, 8, 10, 7], [10, 12, 5, 4]], [[9, 1, 4, 9], [4, 6, 9, 6], [9, 7, 8, 4], [8, 4, 7, 1]], [[7, 9, 9, 10], [9, 6, 6, 1], [6, 4, 12, 13], [12, 1, 7, 11]]]
S-14-4-4-48-NR,0.018431663513183594,1306,[[[9, 6, 14, 11], [14, 3, 2, 8], [2, 9, 11, 4], [11, 12, 9, 4]], [[5, 11, 13, 9], [13, 8, 9, 14], [9, 4, 9, 3], [9, 4, 13, 8]], [[9, 9, 4, 1], [4, 14, 2, 7], [2, 3, 2, 3], [2, 8, 4, 8]], [[12, 1, 11, 13], [11, 7, 3, 7], [3, 3, 3, 3], [3, 8, 3, 13]]]
S-14-4-4-49-NR,0.031242847442626953,2198,[[[2, 6, 8, 12], [8, 7, 1, 11], [1, 2, 9, 9], [9, 6, 13, 4]], [[9, 12, 14, 10], [14, 11, 5, 10], [5, 9, 6, 7], [6, 4, 9, 1]], [[13, 10, 4, 12], [4, 10, 3, 2], [3, 7, 7, 12], [7, 1, 1, 7]], [[11, 12, 6, 1], [6, 2, 13, 13], [13, 12, 6, 12], [6, 7, 5, 3]]]
S-14-4-4-50-NR,0.11996269226074219,11430,[[[8, 14, 2, 3], [2, 5, 6, 14], [6, 6, 2, 6], [2, 11, 4, 6]], [[12, 3, 4, 4], [4, 14, 2, 14], [2, 6, 6, 10], [6, 6, 8, 10]], [[13, 4, 7, 11], [7, 14, 2, 2], [2, 10, 12, 10], [12, 10, 6, 14]], [[2, 11, 6, 9], [6, 2, 13, 6], [13, 10, 12, 4], [12, 14, 11, 9]]]
