S-14-5-5-127-NR,0.47531867027282715,64586,[[[1, 10, 5, 9], [5, 10, 12, 14], [12, 10, 2, 7], [2, 14, 2, 13], [2, 2, 1, 2]], [[1, 9, 12, 10], [12, 14, 6, 6], [6, 7, 1, 8], [1, 13, 3, 12], [3, 2, 5, 10]], [[4, 10, 12, 6], [12, 6, 14, 7], [14, 8, 12, 5], [12, 12, 2, 9], [2, 10, 7, 2]], [[4, 6, 5, 10], [5, 7, 2, 5], [2, 5, 6, 9], [6, 9, 1, 5], [1, 2, 5, 12]], [[11, 10, 12, 11], [12, 5, 4, 14], [4, 9, 7, 5], [7, 5, 5, 7], [5, 12, 1, 6]]]
S-14-5-5-128-NR,0.23667693138122559,27790,[[[14, 4, 13, 2], [13, 7, 1, 5], [1, 9, 13, 6], [13, 6, 2, 14], [2, 3, 8, 12]], [[1, 2, 11, 8], [11, 5, 3, 7], [3, 6, 9, 6], [9, 14, 14, 8], [14, 12, 3, 6]], [[6, 8, 8, 6], [8, 7, 9, 6], [9, 6, 7, 11], [7, 8, 5, 14], [5, 6, 11, 5]], [[9, 6, 4, 10], [4, 6, 14, 1], [14, 11, 3, 10], [3, 14, 3, 2], [3, 5, 5, 2]], [[11, 10, 10, 11], [10, 1, 8, 10], [8, 10, 5, 12], [5, 2, 8, 9], [8, 2, 5, 2]]]
S-14-5-5-11-NR,0.5141050815582275,64433,[[[8, 14, 8, 5], [8, 9, 3, 2], [3, 14, 9, 13], [9, 13, 12, 11], [12, 8, 8, 1]], [[9, 5, 10, 7], [10, 2, 8, 11], [8, 13, 12, 10], [12, 11, 11, 3], [11, 1, 14, 10]], [[10, 7, 1, 14], [1, 11, 9, 2], [9, 10, 1, 1], [1, 3, 4, 4], [4, 10, 4, 10]], [[3, 14, 1, 13], [1, 2, 8, 6], [8, 1, 8, 10], [8, 4, 14, 4], [14, 10, 13, 9]], [[9, 13, 4, 8], [4, 6, 11, 11], [11, 10, 5, 10], [5, 4, 8, 13], [8, 9, 3, 2]]]
S-14-5-5-129-NR,0.048255205154418945,3774,[[[10, 14, 13, 5], [13, 13, 10, 4], [10, 9, 13, 3], [13, 5, 8, 12], [8, 1, 12, 10]], [[7, 5, 13, 8], [13, 4, 3, 2], [3, 3, 5, 2], [5, 12, 13, 5], [13, 10, 11, 12]], [[4, 8, 12, 13], [12, 2, 2, 7], [2, 2, 1, 4], [1, 5, 10, 3], [10, 12, 6, 2]], [[14, 13, 4, 8], [4, 7, 13, 1], [13, 4, 5, 10], [5, 3, 5, 6], [5, 2, 14, 3]], [[4, 8, 6, 2], [6, 1, 8, 12], [8, 10, 9, 9], [9, 6, 10, 3], [10, 3, 3, 11]]]
S-14-5-5-130-NR,0.2730727195739746,35321,[[[9, 7, 12, 2], [12, 5, 9, 11], [9, 13, 11, 4], [11, 12, 14, 6], [14, 11, 13, 1]], [[8, 2, 7, 1], [7, 11, 13, 6], [13, 4, 3, 1], [3, 6, 11, 14], [11, 1, 11, 8]], [[8, 1, 14, 7], [14, 6, 6, 8], [6, 1, 12, 7], [12, 14, 13, 7], [13, 8, 1, 2]], [[6, 7, 11, 1], [11, 8, 9, 13], [9, 7, 9, 9], [9, 7, 9, 11], [9, 2, 4, 14]], [[10, 1, 3, 6], [3, 13, 9, 4], [9, 9, 12, 6], [12, 11, 3, 11], [3, 14, 9, 11]]]
S-14-5-5-131-NR,0.24203085899353027,28969,[[[6, 6, 9, 11], [9, 13, 12, 8], [12, 9, 8, 12], [8, 2, 4, 4], [4, 7, 5, 9]], [[1, 11, 1, 12], [1, 8, 3, 8], [3, 12, 12, 10], [12, 4, 13, 12], [13, 9, 7, 4]], [[13, 12, 11, 7], [11, 8, 14, 12], [14, 10, 12, 2], [12, 12, 1, 12], [1, 4, 2, 13]], [[6, 7, 8, 5], [8, 12, 7, 11], [7, 2, 2, 14], [2, 12, 3, 13], [3, 13, 10, 2]], [[10, 5, 3, 2], [3, 11, 2, 12], [2, 14, 13, 3], [13, 13, 10, 4], [10, 2, 12, 12]]]
S-14-5-5-132-NR,0.14919686317443848,18789,[[[7, 3, 3, 11], [3, 7, 10, 7], [10, 1, 4, 12], [4, 3, 11, 13], [11, 1, 5, 14]], [[2, 11, 8, 14], [8, 7, 14, 10], [14, 12, 13, 9], [13, 13, 13, 14], [13, 14, 14, 10]], [[13, 14, 9, 13], [9, 10, 6, 7], [6, 9, 10, 6], [10, 14, 4, 12], [4, 10, 13, 13]], [[14, 13, 2, 9], [2, 7, 1, 10], [1, 6, 14, 13], [14, 12, 6, 11], [6, 13, 9, 9]], [[1, 9, 11, 4], [11, 10, 2, 8], [2, 13, 10, 5], [10, 11, 3, 4], [3, 9, 13, 8]]]
S-14-5-5-133-NR,0.01618671417236328,2128,[[[8, 6, 11, 5], [11, 8, 5, 4], [5, 6, 1, 7], [1, 13, 9, 7], [9, 10, 13, 3]], [[13, 5, 2, 5], [2, 4, 14, 3], [14, 7, 1, 13], [1, 7, 7, 6], [7, 3, 6, 11]], [[9, 5, 10, 3], [10, 3, 5, 2], [5, 13, 10, 3], [10, 6, 10, 2], [10, 11, 12, 12]], [[10, 3, 6, 2], [6, 2, 6, 5], [6, 3, 8, 2], [8, 2, 14, 2], [14, 12, 12, 9]], [[12, 2, 7, 14], [7, 5, 14, 1], [14, 2, 8, 12], [8, 2, 4, 2], [4, 9, 14, 5]]]
S-14-5-5-134-NR,0.023537874221801758,3288,[[[8, 9, 9, 8], [9, 4, 1, 2], [1, 12, 5, 12], [5, 9, 9, 13], [9, 12, 12, 13]], [[11, 8, 12, 13], [12, 2, 5, 5], [5, 12, 2, 12], [2, 13, 10, 12], [10, 13, 14, 11]], [[3, 13, 5, 11], [5, 5, 14, 11], [14, 12, 12, 7], [12, 12, 12, 12], [12, 11, 1, 6]], [[11, 11, 14, 11], [14, 11, 5, 11], [5, 7, 6, 3], [6, 12, 14, 12], [14, 6, 13, 9]], [[8, 11, 7, 2], [7, 11, 14, 7], [14, 3, 12, 4], [12, 12, 14, 8], [14, 9, 4, 10]]]
S-14-5-5-135-NR,0.35877466201782227,46203,[[[11, 6, 6, 6], [6, 11, 14, 5], [14, 11, 5, 10], [5, 10, 14, 14], [14, 5, 8, 14]], [[5, 6, 5, 14], [5, 5, 5, 5], [5, 10, 1, 4], [1, 14, 5, 1], [5, 14, 14, 5]], [[12, 14, 9, 2], [9, 5, 5, 5], [5, 4, 12, 13], [12, 1, 6, 11], [6, 5, 2, 6]], [[8, 2, 2, 4], [2, 5, 13, 14], [13, 13, 2, 4], [2, 11, 14, 12], [14, 6, 5, 3]], [[1, 4, 12, 10], [12, 14, 13, 14], [13, 4, 12, 3], [12, 12, 14, 6], [14, 3, 11, 5]]]
