S-2-3-3-46-NR,0.0004756450653076172,58,[[[2, 1, 1, 2], [1, 2, 2, 2], [2, 2, 1, 1]], [[1, 2, 2, 1], [2, 2, 1, 1], [1, 1, 1, 2]], [[1, 1, 1, 1], [1, 1, 2, 2], [2, 2, 2, 2]]]
S-2-3-3-47-NR,0.0007698535919189453,92,[[[1, 2, 2, 1], [2, 1, 1, 2], [1, 2, 2, 2]], [[2, 1, 1, 2], [1, 2, 1, 2], [1, 2, 1, 1]], [[2, 2, 2, 1], [2, 2, 2, 2], [2, 1, 1, 1]]]
S-2-3-3-48-NR,0.0005464553833007812,70,[[[1, 1, 2, 1], [2, 2, 1, 1], [1, 1, 2, 1]], [[1, 1, 1, 1], [1, 1, 2, 2], [2, 1, 1, 1]], [[2, 1, 2, 1], [2, 2, 1, 1], [1, 1, 1, 2]]]
S-2-3-3-49-NR,0.0014939308166503906,195,[[[2, 2, 1, 1], [1, 2, 1, 1], [1, 1, 2, 2]], [[2, 1, 2, 1], [2, 1, 1, 2], [1, 2, 2, 2]], [[2, 1, 2, 1], [2, 2, 2, 2], [2, 2, 2, 1]]]
S-2-3-3-50-NR,0.0015723705291748047,193,[[[2, 1, 1, 1], [1, 2, 2, 1], [2, 2, 1, 2]], [[2, 1, 2, 1], [2, 1, 2, 1], [2, 2, 1, 2]], [[2, 1, 1, 2], [1, 1, 2, 1], [2, 2, 2, 1]]]
S-2-3-3-51-NR,0.006718635559082031,868,[[[1, 1, 2, 1], [2, 1, 2, 1], [2, 1, 2, 2]], [[1, 1, 1, 2], [1, 1, 1, 1], [1, 2, 2, 2]], [[2, 2, 2, 2], [2, 1, 2, 2], [2, 2, 1, 2]]]
S-2-3-3-52-NR,0.0005433559417724609,67,[[[2, 2, 2, 1], [2, 1, 1, 1], [1, 2, 2, 2]], [[1, 1, 1, 1], [1, 1, 2, 1], [2, 2, 2, 2]], [[1, 1, 1, 2], [1, 1, 1, 2], [1, 2, 1, 1]]]
S-2-3-3-53-NR,0.00756072998046875,978,[[[1, 1, 2, 2], [2, 2, 2, 2], [2, 2, 2, 1]], [[1, 2, 1, 2], [1, 2, 2, 1], [2, 1, 2, 1]], [[1, 2, 1, 1], [1, 1, 1, 1], [1, 1, 1, 1]]]
S-2-3-3-54-NR,0.0015478134155273438,182,[[[2, 2, 2, 2], [2, 2, 2, 2], [2, 1, 1, 1]], [[1, 2, 2, 1], [2, 2, 2, 2], [2, 1, 2, 2]], [[2, 1, 2, 1], [2, 2, 1, 1], [1, 2, 1, 2]]]
S-2-3-3-55-NR,0.0002799034118652344,31,[[[1, 1, 1, 2], [1, 1, 1, 2], [1, 1, 2, 2]], [[2, 2, 1, 2], [1, 2, 1, 1], [1, 2, 2, 1]], [[1, 2, 2, 2], [2, 1, 2, 2], [2, 1, 2, 1]]]
S-2-3-3-56-NR,0.0007803440093994141,41,[[[1, 2, 1, 1], [1, 2, 1, 1], [1, 2, 1, 1]], [[1, 1, 1, 2], [1, 1, 1, 2], [1, 1, 1, 1]], [[1, 2, 1, 2], [1, 2, 1, 2], [1, 1, 2, 1]]]
S-2-3-3-57-NR,0.0010616779327392578,70,[[[1, 1, 2, 2], [2, 2, 1, 1], [1, 2, 2, 2]], [[1, 2, 2, 1], [2, 1, 2, 2], [2, 2, 1, 1]], [[2, 1, 1, 2], [1, 2, 1, 2], [1, 1, 1, 2]]]
S-2-3-3-58-NR,0.007004261016845703,539,[[[2, 1, 2, 1], [2, 1, 1, 2], [1, 1, 2, 1]], [[2, 1, 1, 2], [1, 2, 1, 2], [1, 1, 1, 1]], [[1, 2, 2, 2], [2, 2, 2, 2], [2, 1, 2, 2]]]
S-2-3-3-59-NR,0.003984928131103516,228,[[[2, 1, 1, 1], [1, 1, 1, 2], [1, 1, 1, 2]], [[1, 1, 1, 1], [1, 2, 1, 2], [1, 2, 1, 1]], [[1, 1, 2, 2], [2, 2, 2, 1], [2, 1, 2, 2]]]
S-2-3-3-60-NR,0.0028035640716552734,187,[[[2, 2, 2, 1], [2, 1, 1, 1], [1, 2, 1, 2]], [[2, 1, 1, 1], [1, 1, 2, 1], [2, 2, 2, 1]], [[2, 1, 1, 1], [1, 1, 2, 1], [2, 1, 1, 1]]]
S-2-3-3-61-NR,0.00021886825561523438,14,[[[2, 1, 2, 2], [2, 1, 1, 2], [1, 1, 1, 2]], [[2, 2, 1, 1], [1, 2, 1, 2], [1, 2, 2, 1]], [[2, 1, 1, 2], [1, 2, 2, 1], [2, 1, 1, 2]]]
